year,insured_units,insured_persons,claims_total_cnt_k,claims_total_amt_m,claims_inpatient_cnt_k,claims_outpatient_cnt_k,claims_inpatient_amt_m,claims_outpatient_amt_m,total_cost_per_person,impatient_cost_per_person,outpatient_cost_per_person,avg_cost_per_claim,avg_impatient_cost_per_claim,avg_outpatient_cost_per_claim,inpatient_share_amount,outpatient_share_amount,claims_total_amt_m_lag1,claims_inpatient_amt_m_lag1,claims_outpatient_amt_m_lag1,insured_persons_lag1,total_cost_per_person_lag1,inpatient_share_amount_lag1,outpatient_share_amount_lag1,gr_insured_persons,gr_claims_total_amt_m,gr_inpatient_amt_m,gr_outpatient_amt_m
1997,106082,4057159,38602,47885.0,436,19237.0,38166,28648.0,11802.593884045462,9407.075246496379,7061.09866534686,1240.4797678876741,87536.69724770643,1489.2134948276757,0.7970345619713898,0.598266680588911,,,,,,,,,,,
1998,110119,4072541,38604,48822.0,395,19023.0,38209,29799.0,11988.09293755422,9382.10321271167,7317.053407197128,1264.6875971401928,96731.64556962025,1566.4721652736162,0.7826184916635943,0.6103600835688828,47885.0,38166.0,28648.0,4057159.0,11802.593884045462,0.7970345619713898,0.598266680588911,0.0037913229429755724,0.019567714315547713,0.001126657234187478,0.04017732476961733
1999,115306,4108252,37201,40007.0,293,12463.0,36908,27544.0,9738.204959189456,8983.869538674842,6704.554637836238,1075.4280798903255,125965.87030716724,2210.061782877317,0.9225385557527432,0.6884795160846852,48822.0,38209.0,29799.0,4072541.0,11988.09293755422,0.7826184916635943,0.6103600835688828,0.008768726944676564,-0.18055384867477775,-0.034049569473160735,-0.07567368032484312
2000,124806,4195952,41775,55529.0,469,21618.0,41307,33911.0,13233.945478880598,9844.488211495269,8081.836970489653,1329.2399760622382,88074.62686567164,1568.6464982884634,0.7438815753930379,0.6106899097768733,40007.0,36908.0,27544.0,4108252.0,9738.204959189456,0.9225385557527432,0.6884795160846852,0.021347278599268105,0.3879821031319519,0.11918825186951332,0.23115742085390645
2001,125022,4263321,39948,51875.0,435,20172.0,39512,31703.0,12167.744347657612,9267.892330884773,7436.2216685067815,1298.5631320716932,90832.18390804598,1571.6339480467975,0.7616771084337349,0.6111421686746988,55529.0,41307.0,33911.0,4195952.0,13233.945478880598,0.7438815753930379,0.6106899097768733,0.016055712744092343,-0.06580345405103638,-0.04345510446171352,-0.06511161569992041
2002,127475,4294157,44448,,540,,43908,,,10225.056978587416,,,81311.11111111111,,,,51875.0,39512.0,31703.0,4263321.0,12167.744347657612,0.7616771084337349,0.6111421686746988,0.007232859078638354,,0.11125733954241745,
2003,124849,4257765,41417,,471,,40946,,,9616.782513830613,,,86934.18259023354,,,,,43908.0,,4294157.0,,,,-0.00847477164901056,,-0.06745923294160516,
2004,126994,4267835,46391,,544,,45846,,,10742.214729482279,,,84275.73529411765,,,,,40946.0,,4257765.0,,,,0.002365090605047415,,0.11966980901675384,
2005,130329,4304930,46721,,526,,46194,,,10730.48806833096,,,87821.2927756654,,,,,45846.0,,4267835.0,,,,0.008691760576498453,,0.0075906294987566625,
2006,133344,4329783,45087,71078.0,515,27288.0,44573,43790.0,16416.06519310552,10294.511295369768,10113.670823687931,1576.463282099053,86549.5145631068,1604.734681911463,0.6270998058470976,0.6160837389909677,,46194.0,,4304930.0,,,,0.005773148460021416,,-0.03509113737714853,
